"Date","Price","Open","High","Low","Change %"
"Apr 03, 2009","40.09","40.09","40.09","40.09","0.30"
"Apr 02, 2009","39.97","39.97","39.97","39.97","1.65"
"Apr 01, 2009","39.32","39.32","39.32","39.32","1.18"
"Mar 31, 2009","38.86","38.86","38.86","38.86","1.07"
"Mar 30, 2009","38.45","38.45","38.45","38.45","-2.24"
"Mar 27, 2009","39.33","39.33","39.33","39.33","-1.58"
"Mar 26, 2009","39.96","39.96","39.96","39.96","0.28"
"Mar 25, 2009","39.85","39.85","39.85","39.85","0.48"
"Mar 24, 2009","39.66","39.66","39.66","39.66","-1.20"
"Mar 23, 2009","40.14","40.14","40.14","40.14","4.21"
"Mar 20, 2009","38.52","38.52","38.52","38.52","-1.23"
"Mar 19, 2009","39.00","39.00","39.00","39.00","-0.79"
"Mar 18, 2009","39.31","39.31","39.31","39.31","2.13"
"Mar 17, 2009","38.49","38.49","38.49","38.49","1.91"
"Mar 16, 2009","37.77","37.77","37.77","37.77","-0.03"
"Mar 13, 2009","37.78","37.78","37.78","37.78","0.53"
"Mar 12, 2009","37.58","37.58","37.58","37.58","2.43"
"Mar 11, 2009","36.69","36.69","36.69","36.69","0.36"
"Mar 10, 2009","36.56","36.56","36.56","36.56","3.19"
"Mar 09, 2009","35.43","35.43","35.43","35.43","-0.70"
"Mar 06, 2009","35.68","35.68","35.68","35.68","-0.03"
"Mar 05, 2009","35.69","35.69","35.69","35.69","-2.25"
"Mar 04, 2009","36.51","36.51","36.51","36.51","1.22"
"Mar 03, 2009","36.07","36.07","36.07","36.07","-0.69"
"Mar 02, 2009","36.32","36.32","36.32","36.32","-2.71"
"Feb 27, 2009","37.33","37.33","37.33","37.33","-1.37"
"Feb 26, 2009","37.85","37.85","37.85","37.85","-0.58"
"Feb 25, 2009","38.07","38.07","38.07","38.07","-0.96"
"Feb 24, 2009","38.44","38.44","38.44","38.44","2.26"
"Feb 23, 2009","37.59","37.59","37.59","37.59","-2.13"
"Feb 20, 2009","38.41","38.41","38.41","38.41","-0.88"
"Feb 19, 2009","38.75","38.75","38.75","38.75","-0.69"
"Feb 18, 2009","39.02","39.02","39.02","39.02","-0.41"
"Feb 17, 2009","39.18","39.18","39.18","39.18","-2.46"
"Feb 13, 2009","40.17","40.17","40.17","40.17","-0.81"
"Feb 12, 2009","40.50","40.50","40.50","40.50","-0.10"
"Feb 11, 2009","40.54","40.54","40.54","40.54","0.80"
"Feb 10, 2009","40.22","40.22","40.22","40.22","-2.59"
"Feb 09, 2009","41.29","41.29","41.29","41.29","0.17"
"Feb 06, 2009","41.22","41.22","41.22","41.22","1.45"
"Feb 05, 2009","40.63","40.63","40.63","40.63","0.99"
"Feb 04, 2009","40.23","40.23","40.23","40.23","-0.35"
"Feb 03, 2009","40.37","40.37","40.37","40.37","0.95"
"Feb 02, 2009","39.99","39.99","39.99","39.99","0.25"
"Jan 30, 2009","39.89","39.89","39.89","39.89","-1.26"
"Jan 29, 2009","40.40","40.40","40.40","40.40","-2.44"
"Jan 28, 2009","41.41","41.41","41.41","41.41","1.89"
"Jan 27, 2009","40.64","40.64","40.64","40.64","0.99"
"Jan 26, 2009","40.24","40.24","40.24","40.24","0.73"
"Jan 23, 2009","39.95","39.95","39.95","39.95","0.30"
"Jan 22, 2009","39.83","39.83","39.83","39.83","-0.97"
"Jan 21, 2009","40.22","40.22","40.22","40.22","2.16"
"Jan 20, 2009","39.37","39.37","39.37","39.37","-3.74"
"Jan 16, 2009","40.90","40.90","40.90","40.90","0.34"
"Jan 15, 2009","40.76","40.76","40.76","40.76","0.07"
"Jan 14, 2009","40.73","40.73","40.73","40.73","-1.81"
"Jan 13, 2009","41.48","41.48","41.48","41.48","-0.02"
"Jan 12, 2009","41.49","41.49","41.49","41.49","-1.36"
"Jan 09, 2009","42.06","42.06","42.06","42.06","-1.06"
"Jan 08, 2009","42.51","42.51","42.51","42.51","0.62"
"Jan 07, 2009","42.25","42.25","42.25","42.25","-1.54"
"Jan 06, 2009","42.91","42.91","42.91","42.91","0.68"
"Jan 05, 2009","42.62","42.62","42.62","42.62","-0.58"
"Jan 02, 2009","42.87","42.87","42.87","42.87","1.64"
"Dec 31, 2008","42.18","42.18","42.18","42.18","0.64"
"Dec 30, 2008","41.91","41.91","41.91","41.91","1.67"
"Dec 29, 2008","41.22","41.22","41.22","41.22","0.17"
"Dec 26, 2008","41.15","41.15","41.15","41.15","-0.68"
"Dec 24, 2008","41.43","41.43","41.43","41.43","0.27"
"Dec 23, 2008","41.32","41.32","41.32","41.32","-0.51"
"Dec 22, 2008","41.53","41.53","41.53","41.53","-1.07"
"Dec 19, 2008","41.98","41.98","41.98","41.98","0.07"
"Dec 18, 2008","41.95","41.95","41.95","41.95","-0.94"
"Dec 17, 2008","42.35","42.35","42.35","42.35","-0.07"
"Dec 16, 2008","42.38","42.38","42.38","42.38","3.67"
"Dec 15, 2008","40.88","40.88","40.88","40.88","-0.32"
"Dec 12, 2008","41.01","41.01","41.01","41.01","0.42"
"Dec 11, 2008","40.84","40.84","40.84","40.84","-1.14"
"Dec 10, 2008","41.31","41.31","41.31","41.31","0.88"
"Dec 09, 2008","40.95","40.95","40.95","40.95","-1.04"
"Dec 08, 2008","41.38","41.38","41.38","41.38","2.40"
"Dec 05, 2008","40.41","40.41","40.41","40.41","1.69"
"Dec 04, 2008","39.74","39.74","39.74","39.74","-1.66"
"Dec 03, 2008","40.41","40.41","40.41","40.41","1.35"
"Dec 02, 2008","39.87","39.87","39.87","39.87","2.55"
"Dec 01, 2008","38.88","38.88","38.88","38.88","-5.40"
"Nov 28, 2008","41.10","41.10","41.10","41.10","0.83"
"Nov 26, 2008","40.76","40.76","40.76","40.76","1.95"
"Nov 25, 2008","39.98","39.98","39.98","39.98","1.14"
"Nov 24, 2008","39.53","39.53","39.53","39.53","3.78"
"Nov 21, 2008","38.09","38.09","38.09","38.09","3.56"
"Nov 20, 2008","36.78","36.78","36.78","36.78","-4.17"
"Nov 19, 2008","38.38","38.38","38.38","38.38","-3.64"
"Nov 18, 2008","39.83","39.83","39.83","39.83","0.84"
"Nov 17, 2008","39.50","39.50","39.50","39.50","-1.62"
"Nov 14, 2008","40.15","40.15","40.15","40.15","-2.45"
"Nov 13, 2008","41.16","41.16","41.16","41.16","4.28"
"Nov 12, 2008","39.47","39.47","39.47","39.47","-3.05"
"Nov 11, 2008","40.71","40.71","40.71","40.71","-1.50"
"Nov 10, 2008","41.33","41.33","41.33","41.33","-0.29"
"Nov 07, 2008","41.45","41.45","41.45","41.45","2.12"
"Nov 06, 2008","40.59","40.59","40.59","40.59","-3.29"
"Nov 05, 2008","41.97","41.97","41.97","41.97","-3.09"
"Nov 04, 2008","43.31","43.31","43.31","43.31","3.14"
"Nov 03, 2008","41.99","41.99","41.99","41.99","0.10"
"Oct 31, 2008","41.95","41.95","41.95","41.95","0.87"
"Oct 30, 2008","41.59","41.59","41.59","41.59","1.59"
"Oct 29, 2008","40.94","40.94","40.94","40.94","-0.07"
"Oct 28, 2008","40.97","40.97","40.97","40.97","6.42"
"Oct 27, 2008","38.50","38.50","38.50","38.50","-2.36"
"Oct 24, 2008","39.43","39.43","39.43","39.43","-2.23"
"Oct 23, 2008","40.33","40.33","40.33","40.33","1.26"
"Oct 22, 2008","39.83","39.83","39.83","39.83","-3.95"
"Oct 21, 2008","41.47","41.47","41.47","41.47","-2.05"
"Oct 20, 2008","42.34","42.34","42.34","42.34","3.19"
"Oct 17, 2008","41.03","41.03","41.03","41.03","-0.56"
"Oct 16, 2008","41.26","41.26","41.26","41.26","2.18"
"Oct 15, 2008","40.38","40.38","40.38","40.38","-6.29"
"Oct 14, 2008","43.09","43.09","43.09","43.09","0.23"
"Oct 13, 2008","42.99","42.99","42.99","42.99","7.34"
"Oct 10, 2008","40.05","40.05","40.05","40.05","-1.43"
"Oct 09, 2008","40.63","40.63","40.63","40.63","-5.11"
"Oct 08, 2008","42.82","42.82","42.82","42.82","-1.40"
"Oct 07, 2008","43.43","43.43","43.43","43.43","-3.38"
"Oct 06, 2008","44.95","44.95","44.95","44.95","-2.39"
"Oct 03, 2008","46.05","46.05","46.05","46.05","-0.88"
"Oct 02, 2008","46.46","46.46","46.46","46.46","-2.56"
"Oct 01, 2008","47.68","47.68","47.68","47.68","-0.19"
"Sep 30, 2008","47.77","47.77","47.77","47.77","2.03"
"Sep 29, 2008","46.82","46.82","46.82","46.82","-4.90"
"Sep 26, 2008","49.23","49.23","49.23","49.23","-0.22"
"Sep 25, 2008","49.34","49.34","49.34","49.34","0.20"
"Sep 24, 2008","49.24","49.24","49.24","49.24","-0.18"
"Sep 23, 2008","49.33","49.33","49.33","49.33","-1.30"
"Sep 22, 2008","49.98","49.98","49.98","49.98","-1.83"
"Sep 19, 2008","50.91","50.91","50.91","50.91","2.72"
"Sep 18, 2008","49.56","49.56","49.56","49.56","1.81"
"Sep 17, 2008","48.68","48.68","48.68","48.68","-2.74"
"Sep 16, 2008","50.05","50.05","50.05","50.05","0.34"
"Sep 15, 2008","49.88","49.88","49.88","49.88","-2.88"
"Sep 12, 2008","51.36","51.36","51.36","51.36","0.12"
"Sep 11, 2008","51.30","51.30","51.30","51.30","0.55"
"Sep 10, 2008","51.02","51.02","51.02","51.02","0.39"
"Sep 09, 2008","50.82","50.82","50.82","50.82","-1.93"
"Sep 08, 2008","51.82","51.82","51.82","51.82","1.47"
"Sep 05, 2008","51.07","51.07","51.07","51.07","0.06"
"Sep 04, 2008","51.04","51.04","51.04","51.04","-1.73"
"Sep 03, 2008","51.94","51.94","51.94","51.94","0.00"
"Sep 02, 2008","51.94","51.94","51.94","51.94","-0.21"
"Aug 29, 2008","52.05","52.05","52.05","52.05","-0.76"
"Aug 28, 2008","52.45","52.45","52.45","52.45","0.96"
"Aug 27, 2008","51.95","51.95","51.95","51.95","0.56"
"Aug 26, 2008","51.66","51.66","51.66","51.66","0.31"
"Aug 25, 2008","51.50","51.50","51.50","51.50","-0.98"
"Aug 22, 2008","52.01","52.01","52.01","52.01","0.41"
"Aug 21, 2008","51.80","51.80","51.80","51.80","0.17"
"Aug 20, 2008","51.71","51.71","51.71","51.71","0.49"
"Aug 19, 2008","51.46","51.46","51.46","51.46","-0.60"
"Aug 18, 2008","51.77","51.77","51.77","51.77","-0.67"
"Aug 15, 2008","52.12","52.12","52.12","52.12","0.31"
"Aug 14, 2008","51.96","51.96","51.96","51.96","0.12"
"Aug 13, 2008","51.90","51.90","51.90","51.90","-0.23"
"Aug 12, 2008","52.02","52.02","52.02","52.02","-0.52"
"Aug 11, 2008","52.29","52.29","52.29","52.29","0.33"
"Aug 08, 2008","52.12","52.12","52.12","52.12","1.09"
"Aug 07, 2008","51.56","51.56","51.56","51.56","-0.73"
"Aug 06, 2008","51.94","51.94","51.94","51.94","0.06"
"Aug 05, 2008","51.91","51.91","51.91","51.91","1.45"
"Aug 04, 2008","51.17","51.17","51.17","51.17","-0.56"
"Aug 01, 2008","51.46","51.46","51.46","51.46","-0.41"
"Jul 31, 2008","51.67","51.67","51.67","51.67","-0.37"
"Jul 30, 2008","51.86","51.86","51.86","51.86","1.01"
"Jul 29, 2008","51.34","51.34","51.34","51.34","1.02"
"Jul 28, 2008","50.82","50.82","50.82","50.82","-0.82"
"Jul 25, 2008","51.24","51.24","51.24","51.24","-0.16"
"Jul 24, 2008","51.32","51.32","51.32","51.32","-1.16"
"Jul 23, 2008","51.92","51.92","51.92","51.92","0.04"
"Jul 22, 2008","51.90","51.90","51.90","51.90","0.68"
"Jul 21, 2008","51.55","51.55","51.55","51.55","0.08"
"Jul 18, 2008","51.51","51.51","51.51","51.51","0.29"
"Jul 17, 2008","51.36","51.36","51.36","51.36","0.55"
"Jul 16, 2008","51.08","51.08","51.08","51.08","0.71"
"Jul 15, 2008","50.72","50.72","50.72","50.72","-0.78"
"Jul 14, 2008","51.12","51.12","51.12","51.12","-0.31"
